id,nom,gym,secteur,couleur,cotation_officielle,date_ouverture,date_retrait
b0091,DA-0091,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-02-20,2026-04-27
b0092,CO-0092,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V4,2026-02-20,2026-04-22
b0093,DÉ-0093,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-02-20,2026-05-02
b0094,JO-0094,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-02-20,2026-05-10
b0095,DA-0095,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-02-20,2026-04-30
b0096,CO-0096,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-02-20,2026-04-30
b0097,DÉ-0097,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-02-20,2026-05-02
b0098,JO-0098,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-02-20,2026-05-05
b0099,DA-0099,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-02-20,2026-04-23
b0100,CO-0100,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-02-20,2026-04-30
b0101,DA-0101,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-03-22,2026-05-28
b0102,CO-0102,Rose Bloc Vieux-Longueuil,Coordo,Noir,V2,2026-03-22,2026-05-25
b0103,DÉ-0103,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V4,2026-03-22,2026-06-10
b0104,JO-0104,Rose Bloc Vieux-Longueuil,Joker,Bleu,V5,2026-03-22,2026-06-07
b0105,DA-0105,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-03-22,2026-06-01
b0106,CO-0106,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-03-22,2026-05-21
b0107,DÉ-0107,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-03-22,2026-05-27
b0108,JO-0108,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-03-22,2026-05-25
b0109,DA-0109,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-03-22,2026-05-22
b0110,CO-0110,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-03-22,2026-06-01
b0111,DÉ-0111,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V2,2026-03-22,2026-06-01
b0112,JO-0112,Rose Bloc Vieux-Longueuil,Joker,Vert,V3,2026-03-22,2026-05-21
b0113,DA-0113,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-03-22,2026-06-04
b0114,CO-0114,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-03-22,2026-05-26
b0115,DÉ-0115,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-03-22,2026-05-23
b0116,JO-0116,Rose Bloc Vieux-Longueuil,Joker,Noir,V7,2026-03-22,2026-06-03
b0117,DA-0117,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-03-22,2026-06-07
b0118,CO-0118,Rose Bloc Vieux-Longueuil,Coordo,Noir,V9,2026-03-22,2026-06-03
b0119,DÉ-0119,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-03-22,2026-05-22
b0120,JO-0120,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-03-22,2026-06-02
b0121,DA-0121,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-03-22,2026-06-10
b0122,CO-0122,Rose Bloc Vieux-Longueuil,Coordo,Noir,V4,2026-03-22,2026-06-03
b0123,DÉ-0123,Rose Bloc Vieux-Longueuil,Dévers,Vert,V4,2026-03-22,2026-06-01
b0124,JO-0124,Rose Bloc Vieux-Longueuil,Joker,Bleu,V5,2026-03-22,2026-05-21
b0125,DA-0125,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-03-22,2026-06-08
b0126,CO-0126,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-03-22,2026-05-29
b0127,DÉ-0127,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-03-22,2026-06-09
b0128,JO-0128,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-03-22,2026-06-02
b0129,DA-0129,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-03-22,2026-05-21
b0130,CO-0130,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-03-22,2026-06-01
b0131,DÉ-0131,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-03-22,2026-05-23
b0132,JO-0132,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-03-22,2026-06-04
b0133,DA-0133,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-03-22,2026-05-30
b0134,CO-0134,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-03-22,2026-05-23
b0135,DÉ-0135,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-03-22,2026-05-25
b0136,JO-0136,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-03-22,2026-06-04
b0137,DA-0137,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-03-22,2026-06-05
b0138,CO-0138,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-03-22,2026-05-24
b0139,DÉ-0139,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-03-22,2026-06-04
b0140,JO-0140,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-03-22,2026-05-21
b0141,DA-0141,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-03-22,2026-06-10
b0142,CO-0142,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-03-22,2026-05-28
b0143,DÉ-0143,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-03-22,2026-06-03
b0144,JO-0144,Rose Bloc Vieux-Longueuil,Joker,Jaune,V6,2026-03-22,2026-06-07
b0145,DA-0145,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-03-22,2026-05-26
b0146,CO-0146,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-03-22,2026-05-24
b0147,DÉ-0147,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-03-22,2026-06-09
b0148,JO-0148,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-03-22,2026-05-26
b0149,DA-0149,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-03-22,2026-06-04
b0150,CO-0150,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-03-22,2026-05-30
b0151,DA-0151,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-04-21,2026-06-25
b0152,CO-0152,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-04-21,2026-07-08
b0153,DÉ-0153,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-04-21,2026-07-02
b0154,JO-0154,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-04-21,2026-07-01
b0155,DA-0155,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-04-21,2026-06-26
b0156,CO-0156,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-04-21,2026-06-21
b0157,DÉ-0157,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-04-21,2026-06-20
b0158,JO-0158,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-04-21,2026-06-26
b0159,DA-0159,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-04-21,2026-06-25
b0160,CO-0160,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-04-21,2026-07-01
b0161,DÉ-0161,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-04-21,2026-07-03
b0162,JO-0162,Rose Bloc Vieux-Longueuil,Joker,Jaune,V4,2026-04-21,2026-07-06
b0163,DA-0163,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V3,2026-04-21,2026-06-25
b0164,CO-0164,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V5,2026-04-21,2026-07-09
b0165,DÉ-0165,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V6,2026-04-21,2026-07-10
b0166,JO-0166,Rose Bloc Vieux-Longueuil,Joker,Vert,V6,2026-04-21,2026-06-27
b0167,DA-0167,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-04-21,2026-07-08
b0168,CO-0168,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-04-21,2026-06-24
b0169,DÉ-0169,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-04-21,2026-07-06
b0170,JO-0170,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-04-21,2026-07-06
b0171,DA-0171,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V2,2026-04-21,2026-07-08
b0172,CO-0172,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-04-21,2026-06-29
b0173,DÉ-0173,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-04-21,2026-06-29
b0174,JO-0174,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-04-21,2026-07-03
b0175,DA-0175,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-04-21,2026-06-26
b0176,CO-0176,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-04-21,2026-07-04
b0177,DÉ-0177,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-04-21,2026-06-22
b0178,JO-0178,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-04-21,2026-07-06
b0179,DA-0179,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-04-21,2026-07-07
b0180,CO-0180,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V1,2026-04-21,2026-07-09
b0181,DÉ-0181,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-04-21,2026-06-27
b0182,JO-0182,Rose Bloc Vieux-Longueuil,Joker,Vert,V3,2026-04-21,2026-06-23
b0183,DA-0183,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-04-21,2026-07-10
b0184,CO-0184,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-04-21,2026-07-09
b0185,DÉ-0185,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-04-21,2026-07-02
b0186,JO-0186,Rose Bloc Vieux-Longueuil,Joker,Rouge,V7,2026-04-21,2026-07-04
b0187,DA-0187,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V8,2026-04-21,2026-07-05
b0188,CO-0188,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-04-21,2026-06-20
b0189,DÉ-0189,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-04-21,2026-06-24
b0190,JO-0190,Rose Bloc Vieux-Longueuil,Joker,Jaune,V1,2026-04-21,2026-07-02
b0191,DA-0191,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V1,2026-04-21,2026-07-08
b0192,CO-0192,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-04-21,2026-06-25
b0193,DÉ-0193,Rose Bloc Vieux-Longueuil,Dévers,Vert,V4,2026-04-21,2026-06-22
b0194,JO-0194,Rose Bloc Vieux-Longueuil,Joker,Bleu,V5,2026-04-21,2026-07-08
b0195,DA-0195,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-04-21,2026-06-25
b0196,CO-0196,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V7,2026-04-21,2026-06-29
b0197,DÉ-0197,Rose Bloc Vieux-Longueuil,Dévers,Vert,V7,2026-04-21,2026-07-04
b0198,JO-0198,Rose Bloc Vieux-Longueuil,Joker,Noir,V9,2026-04-21,2026-07-06
b0199,DA-0199,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-04-21,2026-07-02
b0200,CO-0200,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-04-21,2026-07-08
b0201,DA-0201,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-05-21,2026-07-25
b0202,CO-0202,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-05-21,2026-08-09
b0203,DÉ-0203,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-05-21,2026-08-09
b0204,JO-0204,Rose Bloc Vieux-Longueuil,Joker,Rouge,V6,2026-05-21,2026-08-05
b0205,DA-0205,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-05-21,2026-07-26
b0206,CO-0206,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-05-21,2026-07-24
b0207,DÉ-0207,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-05-21,2026-07-24
b0208,JO-0208,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-05-21,2026-08-06
b0209,DA-0209,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-05-21,2026-08-08
b0210,CO-0210,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-05-21,2026-07-23
b0211,DÉ-0211,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V2,2026-05-21,2026-08-03
b0212,JO-0212,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-05-21,2026-07-27
b0213,DA-0213,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V3,2026-05-21,2026-07-27
b0214,CO-0214,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V5,2026-05-21,2026-07-29
b0215,DÉ-0215,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-05-21,2026-08-03
b0216,JO-0216,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-05-21,2026-08-06
b0217,DA-0217,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V8,2026-05-21,2026-08-08
b0218,CO-0218,Rose Bloc Vieux-Longueuil,Coordo,Noir,V9,2026-05-21,2026-07-28
b0219,DÉ-0219,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-05-21,2026-07-21
b0220,JO-0220,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-05-21,2026-08-03
b0221,DA-0221,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-05-21,2026-07-24
b0222,CO-0222,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-05-21,2026-07-21
b0223,DÉ-0223,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-05-21,2026-08-03
b0224,JO-0224,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-05-21,2026-07-31
b0225,DA-0225,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V6,2026-05-21,2026-07-25
b0226,CO-0226,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-05-21,2026-07-27
b0227,DÉ-0227,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-05-21,2026-07-22
b0228,JO-0228,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-05-21,2026-07-26
b0229,DA-0229,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-05-21,2026-08-03
b0230,CO-0230,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-05-21,2026-07-24
b0231,DÉ-0231,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V2,2026-05-21,2026-07-24
b0232,JO-0232,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-05-21,2026-07-22
b0233,DA-0233,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V3,2026-05-21,2026-08-09
b0234,CO-0234,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V5,2026-05-21,2026-08-05
b0235,DÉ-0235,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V5,2026-05-21,2026-07-20
b0236,JO-0236,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-05-21,2026-07-24
b0237,DA-0237,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-05-21,2026-08-03
b0238,CO-0238,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-05-21,2026-07-30
b0239,DÉ-0239,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-05-21,2026-08-03
b0240,JO-0240,Rose Bloc Vieux-Longueuil,Joker,Noir,V10,2026-05-21,2026-07-27
b0241,DA-0241,Rose Bloc Vieux-Longueuil,Dalle,Vert,V3,2026-05-21,2026-08-05
b0242,CO-0242,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-05-21,2026-08-02
b0243,DÉ-0243,Rose Bloc Vieux-Longueuil,Dévers,Vert,V3,2026-05-21,2026-07-20
b0244,JO-0244,Rose Bloc Vieux-Longueuil,Joker,Bleu,V6,2026-05-21,2026-08-06
b0245,DA-0245,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-05-21,2026-08-02
b0246,CO-0246,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-05-21,2026-07-22
b0247,DÉ-0247,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V7,2026-05-21,2026-07-28
b0248,JO-0248,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-05-21,2026-07-21
b0249,DA-0249,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-05-21,2026-07-24
b0250,CO-0250,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-05-21,2026-07-25
b0251,DA-0251,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-06-20,2026-09-02
b0252,CO-0252,Rose Bloc Vieux-Longueuil,Coordo,Vert,V3,2026-06-20,2026-09-05
b0253,DÉ-0253,Rose Bloc Vieux-Longueuil,Dévers,Vert,V4,2026-06-20,2026-08-27
b0254,JO-0254,Rose Bloc Vieux-Longueuil,Joker,Vert,V4,2026-06-20,2026-09-05
b0255,DA-0255,Rose Bloc Vieux-Longueuil,Dalle,Bleu,V5,2026-06-20,2026-09-01
b0256,CO-0256,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V6,2026-06-20,2026-09-02
b0257,DÉ-0257,Rose Bloc Vieux-Longueuil,Dévers,Rouge,V8,2026-06-20,2026-08-29
b0258,JO-0258,Rose Bloc Vieux-Longueuil,Joker,Noir,V9,2026-06-20,2026-08-29
b0259,DA-0259,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-06-20,2026-09-08
b0260,CO-0260,Rose Bloc Vieux-Longueuil,Coordo,Jaune,V2,2026-06-20,2026-09-02
b0261,DÉ-0261,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V2,2026-06-20,2026-08-31
b0262,JO-0262,Rose Bloc Vieux-Longueuil,Joker,Vert,V3,2026-06-20,2026-09-07
b0263,DA-0263,Rose Bloc Vieux-Longueuil,Dalle,Vert,V4,2026-06-20,2026-08-20
b0264,CO-0264,Rose Bloc Vieux-Longueuil,Coordo,Bleu,V5,2026-06-20,2026-08-23
b0265,DÉ-0265,Rose Bloc Vieux-Longueuil,Dévers,Bleu,V6,2026-06-20,2026-08-20
b0266,JO-0266,Rose Bloc Vieux-Longueuil,Joker,Rouge,V8,2026-06-20,2026-08-25
b0267,DA-0267,Rose Bloc Vieux-Longueuil,Dalle,Noir,V9,2026-06-20,2026-08-23
b0268,CO-0268,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-06-20,2026-08-23
b0269,DÉ-0269,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-06-20,2026-08-22
b0270,JO-0270,Rose Bloc Vieux-Longueuil,Joker,Jaune,V1,2026-06-20,2026-09-02
b0271,DA-0271,Rose Bloc Vieux-Longueuil,Dalle,Jaune,V1,2026-06-20,2026-08-21
b0272,CO-0272,Rose Bloc Vieux-Longueuil,Coordo,Vert,V4,2026-06-20,2026-09-02
b0273,DÉ-0273,Rose Bloc Vieux-Longueuil,Dévers,Vert,V4,2026-06-20,2026-08-23
b0274,JO-0274,Rose Bloc Vieux-Longueuil,Joker,Jaune,V4,2026-06-20,2026-09-07
b0275,DA-0275,Rose Bloc Vieux-Longueuil,Dalle,Rouge,V7,2026-06-20,2026-08-23
b0276,CO-0276,Rose Bloc Vieux-Longueuil,Coordo,Rouge,V8,2026-06-20,2026-09-06
b0277,DÉ-0277,Rose Bloc Vieux-Longueuil,Dévers,Noir,V9,2026-06-20,2026-09-07
b0278,JO-0278,Rose Bloc Vieux-Longueuil,Joker,Noir,V9,2026-06-20,2026-09-02
b0279,DA-0279,Rose Bloc Vieux-Longueuil,Dalle,Noir,V10,2026-06-20,2026-09-02
b0280,CO-0280,Rose Bloc Vieux-Longueuil,Coordo,Noir,V10,2026-06-20,2026-08-27
b0281,DÉ-0281,Rose Bloc Vieux-Longueuil,Dévers,Jaune,V1,2026-06-20,2026-09-08
b0282,JO-0282,Rose Bloc Vieux-Longueuil,Joker,Jaune,V2,2026-06-20,2026-08-19
b0283,DA-0283,Rose Bloc Vieux-Longueuil,Dalle,Vert,V4,2026-06-20,2026-08-19
